LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,T1718CAT1,T1718CAT2,T1718CAT3,T1718CAT4,T1718CAT5,T1718CAT1LA,T1718CAT2LA,T1718CAT3LA,T1718CAT4LA,T1718CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PT1718CAT1,PT1718CAT2,PT1718CAT3,PT1718CAT4,PT1718CAT5,PT1718CAT1LA,PT1718CAT2LA,PT1718CAT3LA,PT1718CAT4LA,PT1718CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
815,121444,Non-London,Primary,267,26.7,Medium,"6,208",82,"6,289","2,178",533,"1,058",353,389,198,932,55,225,48,66,184,"6,221","3,250",191,405,68,"5,011","3,599",241,447,153,"6,323","3,448",160,357,73,"5,153","3,478",209,426,98,"5,541","3,286",185,292,66,"4,950","3,471",181,455,90,"5,585","2,845",567,343,69,"5,558","3,624",164,"5,565","1,078",69,"3,236",533,389,55,"6,221","3,669",257,80,"1,058",55,-14,342,-16,-13,"1,210",99%,1%,35%,9%,17%,6%,6%,3%,15%,1%,4%,1%,1%,3%,65%,4%,8%,1%,100%,NA,NA,NA,NA,NA,67%,3%,7%,1%,100%,NA,NA,NA,NA,NA,66%,4%,3%,3%,100%,NA,NA,NA,NA,NA,51%,10%,6%,1%,100%,NA,NA,NA,NA,NA,52%,9%,6%,1%,100%,NA,NA,NA,NA,NA,-13%,5%,-2%,0%,0%
815,121445,Non-London,Primary,182,1.5,Low,"3,975",37,"4,012","2,248",162,477,270,241,181,103,74,81,56,9,68,"3,969","2,643",120,324,89,"3,900","3,018",164,355,80,"4,513",SUPP,130,200,58,"3,525","3,005",183,317,70,"4,729","2,648",137,230,52,"3,836","3,020",170,374,69,"4,798","2,585",142,257,44,"3,784","3,098",168,"3,708",452,44,"2,725",162,241,74,"3,969","3,225",168,30,477,74,82,42,-83,-15,69,99%,1%,57%,4%,12%,7%,6%,5%,3%,2%,2%,1%,0%,2%,SUPP,3%,8%,2%,100%,NA,NA,NA,NA,NA,SUPP,4%,6%,2%,100%,NA,NA,NA,NA,NA,69%,4%,4%,3%,100%,NA,NA,NA,NA,NA,68%,4%,7%,1%,100%,NA,NA,NA,NA,NA,69%,4%,6%,2%,100%,NA,NA,NA,NA,NA,NA,1%,-2%,0%,0%
815,121446,Non-London,Primary,117,3.3,Low,"4,651",130,"4,780","2,238",47,932,387,386,180,142,74,294,35,7,109,"4,829","3,141",235,429,101,"4,819","3,018",164,355,80,"4,513",SUPP,90,390,89,"4,551","3,005",183,317,70,"4,729",SUPP,63,424,102,"4,931","3,020",170,374,69,"4,798","2,931",73,292,149,"4,466","3,098",168,"4,330",805,149,"3,169",47,386,74,"4,829","3,225",168,157,932,74,28,-188,-43,-27,10,97%,3%,46%,1%,19%,8%,8%,4%,3%,2%,6%,1%,0%,2%,SUPP,5%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,2%,9%,2%,100%,NA,NA,NA,NA,NA,68%,1%,3%,5%,100%,NA,NA,NA,NA,NA,66%,2%,7%,3%,100%,NA,NA,NA,NA,NA,66%,1%,8%,2%,100%,NA,NA,NA,NA,NA,NA,-4%,-1%,0%,0%
815,121447,Non-London,Primary,355,7.7,Low,"4,032",98,"4,130","2,015",52,710,238,330,166,182,57,198,36,32,52,"4,069","2,523",115,306,68,"3,674","3,018",164,355,80,"4,513","2,606",109,304,60,"3,839","3,005",183,317,70,"4,729","2,587",86,302,60,"3,814","3,020",170,374,69,"4,798","2,711",84,314,52,"3,912","3,098",168,"3,926",728,52,"2,726",52,330,57,"4,069","3,225",168,89,710,57,203,-63,24,-11,395,98%,2%,50%,1%,17%,6%,8%,4%,4%,1%,5%,1%,1%,1%,SUPP,3%,8%,2%,100%,NA,NA,NA,NA,NA,68%,3%,8%,2%,100%,NA,NA,NA,NA,NA,68%,2%,4%,4%,100%,NA,NA,NA,NA,NA,69%,2%,8%,1%,100%,NA,NA,NA,NA,NA,67%,1%,8%,1%,100%,NA,NA,NA,NA,NA,NA,-2%,0%,-1%,0%
815,121448,Non-London,Primary,168,18,Low,"5,444",24,"5,468","2,707",70,"1,061",330,313,159,177,58,205,20,128,92,"5,319","3,613",137,255,69,"5,137","3,018",164,355,80,"4,513","3,718",143,294,62,"5,444","3,005",183,317,70,"4,729",SUPP,105,309,58,"5,337","3,020",170,374,69,"4,798","3,520",188,290,54,"5,189","3,098",168,"4,925",913,54,"3,768",70,313,58,"5,319","3,225",168,47,"1,061",58,155,-67,58,-11,182,100%,0%,51%,1%,20%,6%,6%,3%,3%,1%,4%,0%,2%,2%,70%,3%,5%,1%,100%,NA,NA,NA,NA,NA,68%,3%,5%,1%,100%,NA,NA,NA,NA,NA,68%,2%,3%,5%,100%,NA,NA,NA,NA,NA,68%,4%,6%,1%,100%,NA,NA,NA,NA,NA,71%,1%,6%,1%,100%,NA,NA,NA,NA,NA,1%,-2%,1%,0%,0%
815,121449,Non-London,Primary,355,5.1,Low,"4,401",103,"4,504","2,054",201,847,420,277,113,201,0,236,21,20,97,"4,488","2,443",202,209,3,"3,705","3,018",164,355,80,"4,513","2,735",101,245,-1,"4,039","3,005",183,317,70,"4,729","2,909",107,250,0,"4,314","3,020",170,374,69,"4,798","2,846",70,185,0,"4,118","3,098",168,"4,199",763,0,"2,901",201,277,0,"4,488","3,225",168,66,847,0,458,-1,68,-3,783,98%,2%,46%,4%,19%,9%,6%,3%,4%,0%,5%,0%,0%,2%,SUPP,5%,6%,0%,100%,NA,NA,NA,NA,NA,68%,3%,6%,0%,100%,NA,NA,NA,NA,NA,68%,2%,3%,5%,100%,NA,NA,NA,NA,NA,69%,2%,4%,0%,100%,NA,NA,NA,NA,NA,65%,4%,6%,0%,100%,NA,NA,NA,NA,NA,NA,-1%,0%,0%,0%
815,121450,Non-London,Primary,163,1.8,Low,"4,748",129,"4,877","2,618",188,708,335,320,175,144,66,268,44,26,120,"5,013","3,030",8,206,71,"4,098","3,018",164,355,80,"4,513",SUPP,105,242,61,"4,277","3,005",183,317,70,"4,729","2,991",150,256,71,"4,373","3,020",170,374,69,"4,798","3,073",303,256,47,"4,734","3,098",168,"4,525",712,47,"3,327",188,320,66,"5,013","3,225",168,96,708,66,297,180,114,-5,915,97%,3%,52%,4%,14%,7%,6%,3%,3%,1%,5%,1%,1%,2%,SUPP,0%,5%,2%,100%,NA,NA,NA,NA,NA,SUPP,2%,6%,1%,100%,NA,NA,NA,NA,NA,68%,3%,4%,5%,100%,NA,NA,NA,NA,NA,65%,6%,5%,1%,100%,NA,NA,NA,NA,NA,66%,4%,6%,1%,100%,NA,NA,NA,NA,NA,NA,4%,1%,-1%,0%
815,121451,Non-London,Primary,243,12.9,Low,"4,485",162,"4,647","2,024",89,993,330,382,135,167,74,218,40,15,107,"4,574","2,609",189,290,45,"3,954","3,018",164,355,80,"4,513","2,998",111,325,75,"4,507","3,005",183,317,70,"4,729","3,309",93,385,40,"4,848","3,020",170,374,69,"4,798","3,157",99,458,54,"4,828","3,098",168,"4,622","1,027",54,"3,017",89,382,74,"4,574","3,225",168,81,993,74,408,-100,92,29,620,97%,3%,44%,2%,22%,7%,8%,3%,4%,2%,5%,1%,0%,2%,SUPP,5%,7%,1%,100%,NA,NA,NA,NA,NA,67%,2%,7%,2%,100%,NA,NA,NA,NA,NA,68%,2%,3%,5%,100%,NA,NA,NA,NA,NA,65%,2%,9%,1%,100%,NA,NA,NA,NA,NA,66%,2%,8%,2%,100%,NA,NA,NA,NA,NA,NA,-3%,1%,1%,0%
815,121452,Non-London,Primary,71,4.2,Low,"5,245",78,"5,323","2,349",10,"1,028",340,531,169,111,64,234,118,71,121,"5,145","3,217",57,298,59,"4,608","3,018",164,355,80,"4,513",SUPP,241,399,68,"5,238","3,005",183,317,70,"4,729",SUPP,198,458,58,"4,941","3,020",170,374,69,"4,798","3,334",95,498,44,"5,346","3,098",168,"5,477",934,44,"3,378",10,531,64,"5,145","3,225",168,50,"1,028",64,161,-47,233,5,537,99%,1%,46%,0%,20%,7%,10%,3%,2%,1%,5%,2%,1%,2%,SUPP,1%,6%,1%,100%,NA,NA,NA,NA,NA,SUPP,5%,8%,1%,100%,NA,NA,NA,NA,NA,63%,4%,2%,6%,100%,NA,NA,NA,NA,NA,62%,2%,9%,1%,100%,NA,NA,NA,NA,NA,66%,0%,10%,1%,100%,NA,NA,NA,NA,NA,NA,-1%,4%,0%,0%
815,121453,Non-London,Primary,59,3.1,Low,"5,878",110,"5,988","2,901",143,674,559,663,206,123,104,357,92,28,102,"5,953","3,342",99,436,77,"5,026","3,018",164,355,80,"4,513",SUPP,306,537,103,"5,872","3,005",183,317,70,"4,729","3,294",-15,592,75,"5,472","3,020",170,374,69,"4,798","3,419",138,598,78,"5,578","3,098",168,"5,237",556,78,"3,575",143,663,104,"5,953","3,225",168,46,674,104,233,44,227,27,927,98%,2%,49%,2%,11%,9%,11%,3%,2%,2%,6%,2%,0%,2%,SUPP,2%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,5%,9%,2%,100%,NA,NA,NA,NA,NA,60%,0%,4%,9%,100%,NA,NA,NA,NA,NA,61%,2%,11%,1%,100%,NA,NA,NA,NA,NA,60%,2%,11%,2%,100%,NA,NA,NA,NA,NA,NA,0%,2%,0%,0%
