LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,T1718CAT1,T1718CAT2,T1718CAT3,T1718CAT4,T1718CAT5,T1718CAT1LA,T1718CAT2LA,T1718CAT3LA,T1718CAT4LA,T1718CAT5LA,T1819CAT1,T1819CAT2,T1819CAT3,T1819CAT4,T1819CAT5,T1819CAT1LA,T1819CAT2LA,T1819CAT3LA,T1819CAT4LA,T1819CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PT1718CAT1,PT1718CAT2,PT1718CAT3,PT1718CAT4,PT1718CAT5,PT1718CAT1LA,PT1718CAT2LA,PT1718CAT3LA,PT1718CAT4LA,PT1718CAT5LA,PT1819CAT1,PT1819CAT2,PT1819CAT3,PT1819CAT4,PT1819CAT5,PT1819CAT1LA,PT1819CAT2LA,PT1819CAT3LA,PT1819CAT4LA,PT1819CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
815,121267,Non-London,Nursery,45,0,Low,"9,109",781,"9,890","2,612",473,"3,734",661,"1,255",47,239,98,137,85,6,"-7,794","1,553",SUPP,146,"1,450",138,"8,815","5,047",218,475,82,"6,752",SUPP,168,753,99,"7,127","5,275",228,814,93,"7,127",NA,71,462,35,3469,"3,169",180,3729,1580,35,NA ,79,"2,155",86,"9,089","5,148",223,"1,001",67,"8,065",NA,473,"1,255",98,"1,553","5,724",168,"1,071",69,"7,067",NA,11,136,0,465,92%,8%,NA,5%,NA,7%,13%,1%,2%,1%,1%,1%,0%,-79%,SUPP,2%,16%,2%,100%,NA,NA,NA,NA,NA,SUPP,2%,1%,2%,100%,NA,NA,NA,NA,NA,NA,2%,13%,1%,100%,NA,NA,NA,NA,NA,NA,1%,24%,1%,100%,NA,NA,NA,NA,NA,SUPP,30%,81%,6%,100%,NA,NA,NA,NA,NA,SUPP,28%,65%,4%,0%
815,121268,Non-London,Nursery,35,11,Low,"9,909",138,"10,047","2,394",168,"3,112",176,"1,071",45,305,0,111,63,4,555,"8,004",SUPP,320,879,SUPP,"6,398","5,047",218,475,82,"6,752",SUPP,228,"1,123",93,"7,196","5,275",228,814,93,"7,127",NA,289,659,45,5563,"3,169",180,4041,1392,45,NA ,223,820,-   ,"7,785","5,148",223,"1,001",67,"8,065",NA,168,"1,071",0,"8,004","5,724",168,"1,071",69,"7,067",764,24,190,3,"1,220",99%,1%,NA,2%,NA,2%,11%,0%,3%,0%,1%,1%,0%,6%,SUPP,5%,14%,SUPP,100%,NA,NA,NA,NA,NA,SUPP,3%,0%,3%,100%,NA,NA,NA,NA,NA,NA,5%,12%,1%,100%,NA,NA,NA,NA,NA,NA,3%,11%,0%,100%,NA,NA,NA,NA,NA,SUPP,2%,13%,0%,100%,NA,NA,NA,NA,NA,SUPP,-3%,-1%,NA,0%
815,121269,Non-London,Nursery,47,0,Low,"6,662",184,"6,846","3,518",99,"1,671",382,783,13,130,69,312,46,0,43,"7,067",SUPP,218,816,82,"6,752","5,047",218,475,82,"6,752","4,865",280,814,79,"6,655","5,275",228,814,93,"7,127",2618,180,428,35,3771,"3,169",180,3711,840,35,"5,474",373,"1,001",67,"8,065","5,148",223,"1,001",67,"8,065","5,189",99,783,69,"7,067","5,724",168,"1,071",69,"7,067",800,-30,45,1,437,97%,3%,50%,1%,24%,6%,11%,0%,2%,1%,5%,1%,0%,1%,SUPP,3%,12%,1%,100%,NA,NA,NA,NA,NA,73%,4%,0%,6%,100%,NA,NA,NA,NA,NA,69%,5%,11%,1%,100%,NA,NA,NA,NA,NA,68%,5%,12%,1%,100%,NA,NA,NA,NA,NA,73%,1%,11%,1%,100%,NA,NA,NA,NA,NA,NA,-2%,-1%,0%,0%
815,132027,Non-London,Pupil referral unit,44,54,High,"30,069",88,"30,157","10,698","3,418","5,814","1,397","3,536",948,675,351,918,235,0,606,"28,596","36,422","4,786","9,727",537,"65,437","33,215","3,740","1,894",538,"57,890","23,899","5,662","6,007",369,"47,605","23,899","5,662","6,007",369,"47,605",32596,7931,5639,229,53997,"32,596","7,931",62420,9566,229,"19,233","5,127","4,454",178,"33,930","40,285","3,662","8,636",338,"61,689","16,512","3,418","3,536",351,"28,596","16,590","1,697","4,300",351,"28,596",-43,13,18,20,169,100%,0%,37%,11%,20%,5%,12%,3%,2%,1%,3%,1%,0%,2%,56%,7%,15%,1%,100%,NA,NA,NA,NA,NA,50%,12%,0%,3%,100%,NA,NA,NA,NA,NA,60%,15%,10%,0%,100%,NA,NA,NA,NA,NA,57%,15%,13%,1%,100%,NA,NA,NA,NA,NA,58%,12%,12%,1%,100%,NA,NA,NA,NA,NA,2%,5%,-3%,0%,0%
815,135850,Non-London,Pupil referral unit,37,21,Medium,"27,101",0,"27,101","16,060",724,"2,707","1,215","4,098",26,318,179,516,236,35,"1,447","27,560","55,231",128,"9,793",519,"75,395","55,231",128,"3,309",519,"75,395",SUPP,747,"7,004",371,"58,245","34,112","1,467","7,474",524,"53,139",42707,2815,8555,290,63476,"37,712","2,819",61215,6676,290,NA ,"2,197","12,818",498,"89,449","40,285","3,662","8,636",338,"61,689","18,767",724,"4,098",179,"27,560","18,767",724,"4,098",179,"27,560",199,137,63,-13,247,100%,0%,58%,3%,10%,5%,15%,0%,1%,1%,2%,1%,0%,5%,73%,0%,13%,1%,100%,NA,NA,NA,NA,NA,SUPP,1%,0%,2%,100%,NA,NA,NA,NA,NA,67%,4%,13%,0%,100%,NA,NA,NA,NA,NA,NA,2%,14%,1%,100%,NA,NA,NA,NA,NA,68%,3%,15%,1%,100%,NA,NA,NA,NA,NA,-5%,3%,2%,0%,0%
815,135851,Non-London,Pupil referral unit,19,36,High,"30,680",-311,"30,369","19,110",735,"3,472","1,815","5,852",261,275,573,441,343,296,"1,619","34,792","115,603","4,663","23,175","2,403","163,544","115,603","4,663","8,731","2,403","163,544","46,875","2,933","11,260","1,181","75,860","46,875","2,933","11,260","1,181","75,860",46907,1905,12003,1180,79755,"46,908","1,905",71951,7584,1180,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,"22,582",735,"5,852",573,"34,792","16,590","1,697","4,300",351,"28,596",NA,-22,51,-2,199,101%,-1%,55%,2%,10%,6%,19%,1%,1%,2%,2%,1%,1%,5%,71%,3%,14%,1%,100%,NA,NA,NA,NA,NA,SUPP,4%,1%,4%,100%,NA,NA,NA,NA,NA,59%,2%,15%,1%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,65%,2%,17%,2%,100%,NA,NA,NA,NA,NA,-6%,-1%,3%,1%,0%
815,137751,Non-London,Pupil referral unit,42,38,High,"23,800",7,"23,807","13,118","1,697","1,172",956,"4,300",196,264,286,446,154,695,"1,082","24,365","30,007","2,694","6,707",538,"50,343","33,215","3,740","1,894",538,"57,890","27,861","2,187","7,944",676,"48,033","34,112","1,467","7,474",524,"53,139",32717,2822,7473,486,52903,"37,712","2,819",58127,2688,486,"33,910","3,543","10,127",573,"58,609","33,910","3,543","10,127",573,"58,609","14,290","1,697","4,300",286,"24,365","16,590","1,697","4,300",351,"28,596",423,-213,21,17,513,100%,0%,54%,7%,5%,4%,18%,1%,1%,1%,2%,1%,3%,5%,60%,5%,13%,1%,100%,NA,NA,NA,NA,NA,58%,5%,1%,3%,100%,NA,NA,NA,NA,NA,62%,5%,14%,1%,100%,NA,NA,NA,NA,NA,58%,6%,17%,1%,100%,NA,NA,NA,NA,NA,59%,7%,18%,1%,100%,NA,NA,NA,NA,NA,-1%,2%,5%,0%,0%
815,121293,Non-London,Primary,41,15,Low,"5,653",310,"5,963","3,124",444,405,287,568,353,162,57,586,102,47,87,"6,223",SUPP,"1,103",830,121,"10,498","3,005",183,317,70,"4,729","6,219","1,344",852,120,"10,857","3,020",170,374,69,"4,798",NA,839,906,109,10597,"3,098",168,10568,153,109,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,"3,529",444,568,57,"6,223","3,256",160,450,77,"5,358",129,91,44,-1,509,95%,5%,50%,7%,7%,5%,10%,6%,3%,1%,10%,2%,1%,2%,SUPP,11%,8%,1%,100%,NA,NA,NA,NA,NA,57%,12%,4%,5%,100%,NA,NA,NA,NA,NA,NA,8%,9%,1%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,57%,7%,9%,1%,100%,NA,NA,NA,NA,NA,NA,-4%,1%,0%,0%
815,121296,Non-London,Primary,21,0,Low,"10,409",4,"10,413","5,336",64,394,809,"1,306",316,276,134,145,138,31,217,"9,166",SUPP,"1,184","1,374",128,"10,478","3,005",183,317,70,"4,729","5,903",775,"1,396",141,"10,137","3,020",170,374,69,"4,798",5877,194,1445,140,9507,"3,098",168,9783,312,140,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA,64,"1,306",134,"9,166","3,256",160,450,77,"5,358",NA,NA,NA,NA,NA,100%,0%,NA,1%,NA,8%,13%,3%,3%,1%,1%,1%,0%,2%,SUPP,11%,13%,1%,100%,NA,NA,NA,NA,NA,58%,8%,3%,1%,100%,NA,NA,NA,NA,NA,62%,2%,15%,1%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,SUPP,1%,14%,1%,100%,NA,NA,NA,NA,NA,SUPP,-10%,1%,0%,0%
815,121300,Non-London,Primary,45,8,Low,"7,143",133,"7,275","3,768",-273,"1,375",777,643,189,182,157,402,92,37,108,"7,458",SUPP,23,482,208,"7,008","3,005",183,317,70,"4,729","4,265",61,457,161,"6,806","3,471",181,455,90,"5,585",4251,-64,446,139,6872,"3,624",164,7233,1160,139,"5,415",-239,534,165,"7,891","3,225",168,424,75,"5,148","5,143",-273,643,157,"7,458","3,256",160,450,77,"5,358",174,100,-113,-6,148,98%,2%,51%,-4%,18%,11%,9%,3%,3%,2%,6%,1%,1%,2%,SUPP,0%,7%,3%,100%,NA,NA,NA,NA,NA,62%,1%,3%,6%,100%,NA,NA,NA,NA,NA,62%,-1%,6%,2%,100%,NA,NA,NA,NA,NA,69%,-3%,7%,2%,100%,NA,NA,NA,NA,NA,69%,-4%,9%,2%,100%,NA,NA,NA,NA,NA,NA,-4%,2%,-1%,0%
