RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,815,4225,121702,Selby High School Specialist School for the Arts and Science,0,CY,233,45.3,225,2,0.12,-0.05,0.29,0.12,-0.05,0.29,64.8%,41.2%,3.9,23.6%,15.9%,8.2%,62.2%,3
1,815,4205,121689,Settle College,0,CY,83,44.1,82,0,0.12,-0.15,0.4,0.12,-0.16,0.41,59.0%,28.9%,4,38.6%,26.5%,16.9%,55.4%,3
1,815,4216,121695,Sherburn High School,0,CY,124,47.5,122,1,0.11,-0.12,0.33,0.1,-0.13,0.33,77.4%,57.3%,4.54,98.4%,29.0%,14.5%,65.3%,3
1,815,4000,141179,The Skipton Academy,0,AC,61,37.1,61,1,-0.49,-0.81,-0.16,-0.49,-0.82,-0.16,52.5%,24.6%,3.05,19.7%,11.5%,6.6%,47.5%,4
1,815,4518,136664,Skipton Girls' High School,0,ACC,115,71.1,106,0,0.62,0.38,0.87,0.62,0.37,0.87,100.0%,89.6%,6.85,96.5%,91.3%,77.4%,100.0%,1
1,815,4210,136736,South Craven School,0,ACC,279,48,277,0,0.11,-0.04,0.26,0.11,-0.04,0.26,66.7%,40.5%,3.97,17.9%,16.8%,10.4%,64.9%,3
2,815,7017,121772,Springhead School,0,CYS,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,815,7024,121776,Springwater School,0,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4047,141930,Stokesley School,0,ACC,191,50,188,0,-0.11,-0.29,0.07,-0.11,-0.3,0.08,69.1%,41.9%,4.71,52.4%,37.7%,23.0%,64.9%,3
1,815,4211,145777,Tadcaster Grammar School,0,ACC,260,54.1,256,1,0.31,0.15,0.47,0.31,0.15,0.47,82.3%,59.6%,4.68,26.5%,22.7%,17.3%,75.4%,2
1,815,4035,121666,Thirsk School & Sixth Form College,0,CY,150,47.3,147,3,0.07,-0.14,0.28,0.06,-0.16,0.27,65.3%,38.0%,4.35,67.3%,40.7%,24.0%,62.0%,3
1,815,4206,121690,Upper Wharfedale School,0,CY,58,50.2,56,0,0.78,0.45,1.12,0.78,0.44,1.13,75.9%,50.0%,4.03,13.8%,12.1%,6.9%,75.9%,1
2,815,7004,121766,Welburn Hall School,0,CYS,6,NE,NE,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NE,NE,NE,NE,NE,NE,NE
1,815,4075,121679,The Wensleydale School & Sixth Form,0,CY,86,38.2,85,2,-0.61,-0.88,-0.34,-0.64,-0.92,-0.36,44.2%,23.3%,3.37,26.7%,14.0%,8.1%,41.9%,5
2,815,7009,139482,The Woodlands Academy,0,ACCS,16,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
4,815,,,,,,6135,48.6,5924,42,0.1,0.07,0.13,0.1,0.06,0.13,68.8%,47.2%,4.33,43.2%,30.0%,21.3%,64.5%,2
5,,,,,,,605874,44.5,,,,,,,,,59.5%,39.8%,3.86,36.5%,22.8%,15.7%,55.4%
7,,,,,,,542831,46.5,513055,4888,-0.03,,,-0.03,,,64.4%,43.0%,4.06,40.0%,24.8%,17.0%,60.0%
